industry_name,Feb. '19,Jul. '22,change_direction
Professional and business services,0,1233000,gain
"Trade, transportation, and utilities",0,1084000,gain
Transportation and warehousing,0,959400,gain
Education and health services,0,544000,gain
Construction,0,287000,gain
Financial activities,0,274000,gain
Information,0,189000,gain
Retail trade,0,138400,gain
Nondurable goods,0,105000,gain
Manufacturing,0,10000,gain
Durable goods,0,-95000,loss
Mining and logging,0,-106000,loss
Other services,0,-161000,loss
Government,0,-262000,loss
Leisure and hospitality,0,-776000,loss
